C0-56-27-1B-F3-F4,C0-56-27-1B-9D-C5,C0-56-27-18-69-64,C0-56-27-18-69-66,C0-56-27-1B-F3-F5,C0-56-27-1B-9D-C6,D8-84-66-13-10-00,C0-56-27-18-69-65,loc
-45.0,-47.0,-55.0,-50.0,-57.0,-53.0,-55.0,-64.0,0
-45.0,-44.0,-55.0,-55.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-44.0,-55.0,-49.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-51.0,-58.0,-55.0,-53.0,-64.0,0
-44.0,-47.0,-55.0,-51.0,-57.0,-54.0,-53.0,-69.0,0
-45.0,-49.0,-55.0,-49.0,-57.0,-57.0,-53.0,-64.0,0
-45.0,-43.0,-52.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-55.0,,-58.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-55.0,-51.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-52.0,-51.0,-56.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-50.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-51.0,,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-52.0,-51.0,-57.0,-54.0,-53.0,-63.0,0
-45.0,-45.0,-50.0,-56.0,-58.0,-54.0,-53.0,-63.0,0
-45.0,-53.0,-50.0,-50.0,-57.0,-58.0,-53.0,-64.0,0
-45.0,-44.0,-51.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-54.0,-45.0,-53.0,-57.0,-62.0,-54.0,-64.0,0
-44.0,-44.0,-51.0,-50.0,-57.0,-54.0,-53.0,-65.0,0
-47.0,,-49.0,-51.0,-57.0,-53.0,-53.0,-66.0,0
-44.0,-45.0,-51.0,-50.0,-57.0,,-53.0,,0
-44.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-44.0,-53.0,-51.0,-58.0,-52.0,-53.0,-65.0,0
-45.0,-46.0,-50.0,-50.0,-58.0,-54.0,-54.0,-63.0,0
-44.0,-45.0,-57.0,-49.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-55.0,-50.0,-57.0,-55.0,-54.0,-63.0,0
-46.0,-44.0,-50.0,-50.0,-57.0,-54.0,-54.0,-63.0,0
-45.0,-45.0,-48.0,-52.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-44.0,-49.0,-49.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-54.0,-50.0,-57.0,-54.0,-53.0,-63.0,0
-45.0,-45.0,-56.0,-51.0,-58.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-51.0,-58.0,-53.0,-54.0,-65.0,0
-45.0,-44.0,-50.0,-50.0,-58.0,-53.0,-54.0,-65.0,0
-45.0,-45.0,-54.0,,-57.0,-53.0,-54.0,-64.0,0
-45.0,-45.0,-51.0,-55.0,-57.0,-54.0,-54.0,-63.0,0
-47.0,-46.0,-54.0,-51.0,-57.0,-54.0,-54.0,-63.0,0
-45.0,-44.0,-49.0,,-56.0,-54.0,-53.0,-63.0,0
-46.0,-44.0,-55.0,,-57.0,-53.0,-53.0,-63.0,0
-46.0,-45.0,-50.0,,-57.0,-53.0,-54.0,-64.0,0
,,-56.0,,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-57.0,-54.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-52.0,-50.0,-57.0,-54.0,-53.0,-63.0,0
-45.0,-45.0,-49.0,-50.0,-57.0,-54.0,-53.0,-63.0,0
-45.0,-46.0,-53.0,-50.0,-57.0,-53.0,-53.0,-63.0,0
-45.0,-45.0,-52.0,,-58.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-52.0,-49.0,-57.0,-52.0,-54.0,-63.0,0
-46.0,,-56.0,-51.0,-57.0,-53.0,-54.0,-63.0,0
-45.0,-44.0,-50.0,,-57.0,-54.0,-53.0,-64.0,0
-45.0,,-54.0,-51.0,-58.0,-54.0,-55.0,-64.0,0
-45.0,,-54.0,-50.0,-58.0,-54.0,-54.0,-64.0,0
-46.0,-45.0,-49.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-51.0,-53.0,-57.0,-54.0,-53.0,-63.0,0
-45.0,-44.0,-50.0,-51.0,-56.0,-53.0,-53.0,-63.0,0
-45.0,-51.0,-56.0,-51.0,-57.0,-58.0,-53.0,-63.0,0
-58.0,-44.0,-53.0,-50.0,-57.0,-54.0,-51.0,-63.0,0
-45.0,-45.0,-50.0,-54.0,-57.0,-54.0,-51.0,-63.0,0
-44.0,-45.0,-53.0,-55.0,-56.0,-53.0,-52.0,-63.0,0
-44.0,-44.0,-51.0,-50.0,-57.0,-53.0,-52.0,-63.0,0
-44.0,-45.0,-51.0,-51.0,-57.0,-54.0,-52.0,-64.0,0
-44.0,-45.0,-50.0,-51.0,-56.0,-54.0,-53.0,-64.0,0
-46.0,-45.0,-55.0,-50.0,-56.0,-54.0,-54.0,-64.0,0
-44.0,-46.0,-55.0,-49.0,-57.0,-55.0,-52.0,-64.0,0
-44.0,-44.0,-50.0,-51.0,-57.0,-54.0,-55.0,-64.0,0
-44.0,-44.0,-50.0,-52.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-46.0,-56.0,-49.0,-57.0,-53.0,-54.0,-63.0,0
-58.0,-45.0,-48.0,-50.0,-57.0,-54.0,-55.0,-63.0,0
-57.0,-44.0,-53.0,,-57.0,-54.0,-54.0,-64.0,0
-45.0,-52.0,-51.0,-51.0,-57.0,-54.0,-55.0,-63.0,0
-44.0,-44.0,-56.0,,-57.0,-54.0,-54.0,-63.0,0
-44.0,-44.0,-54.0,,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-53.0,-55.0,-64.0,0
-44.0,-45.0,-53.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-54.0,,-57.0,-54.0,-55.0,-64.0,0
-56.0,-45.0,-54.0,-50.0,-57.0,-54.0,-55.0,-64.0,0
-45.0,-45.0,-54.0,-50.0,-56.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-54.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-53.0,-54.0,-57.0,-54.0,-54.0,-65.0,0
-44.0,-52.0,-54.0,-54.0,-57.0,-54.0,-54.0,-65.0,0
-44.0,,-51.0,-50.0,-57.0,-53.0,-63.0,-65.0,0
-55.0,-53.0,-53.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-49.0,-54.0,-58.0,-54.0,-54.0,-65.0,0
-44.0,-45.0,-54.0,-50.0,-57.0,-54.0,-54.0,-65.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-44.0,-45.0,-50.0,-50.0,-57.0,-54.0,-53.0,-65.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-45.0,-54.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-51.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-53.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-53.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-50.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-53.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-52.0,-53.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,,-50.0,-50.0,-56.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-54.0,-52.0,-65.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-44.0,-53.0,,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-51.0,-50.0,-57.0,-53.0,-52.0,-65.0,0
,-45.0,-53.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-52.0,-54.0,-49.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-53.0,-54.0,-65.0,0
-45.0,,-53.0,-55.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-54.0,-50.0,-56.0,-54.0,-53.0,-64.0,0
-44.0,-52.0,-50.0,,-57.0,-54.0,-53.0,-65.0,0
-45.0,-44.0,-50.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,,-55.0,-50.0,-58.0,-53.0,-51.0,-64.0,0
-45.0,-45.0,-49.0,-50.0,-58.0,-54.0,-52.0,-64.0,0
-45.0,-44.0,-54.0,-50.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-44.0,-54.0,-50.0,-58.0,-54.0,-52.0,-65.0,0
-44.0,-44.0,-54.0,-50.0,-57.0,-54.0,-52.0,-65.0,0
-45.0,-44.0,-49.0,,-57.0,-54.0,-53.0,,0
-44.0,-44.0,-54.0,-49.0,-58.0,-53.0,-53.0,-64.0,0
-45.0,-44.0,-54.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,-52.0,-54.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-44.0,-54.0,-49.0,-57.0,-53.0,-54.0,-65.0,0
,-44.0,-50.0,-49.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-52.0,-54.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-45.0,-54.0,-54.0,,-53.0,-55.0,-65.0,0
-45.0,-44.0,-50.0,-49.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-44.0,-49.0,-53.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,-45.0,-49.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-54.0,-54.0,-57.0,-54.0,-53.0,-65.0,0
-45.0,-44.0,-49.0,-50.0,-58.0,-54.0,-53.0,-65.0,0
-44.0,,-50.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,-45.0,-54.0,-50.0,-57.0,-54.0,-53.0,-65.0,0
-44.0,-45.0,-50.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-44.0,-44.0,-54.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-56.0,,-53.0,-51.0,-58.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-51.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-46.0,-52.0,-54.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-44.0,-50.0,,-57.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-50.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-52.0,-55.0,-51.0,-58.0,-54.0,-52.0,-64.0,0
-58.0,-44.0,-50.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-54.0,-51.0,-57.0,-53.0,-54.0,-65.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-53.0,-54.0,,0
-44.0,-45.0,-54.0,,-57.0,-53.0,-54.0,-65.0,0
-44.0,-43.0,-50.0,-50.0,-58.0,-53.0,-54.0,-64.0,0
-45.0,-45.0,-50.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-43.0,-45.0,-54.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-44.0,-50.0,-51.0,-58.0,-54.0,-53.0,-64.0,0
-46.0,-45.0,-50.0,-54.0,-57.0,-54.0,-54.0,-64.0,0
,-43.0,-50.0,-54.0,-57.0,-54.0,-54.0,-63.0,0
-45.0,-45.0,-54.0,,-57.0,-53.0,-54.0,-64.0,0
,-44.0,-53.0,-53.0,-57.0,-54.0,-54.0,-64.0,0
,-44.0,-53.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-65.0,0
-44.0,-45.0,-50.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-53.0,-54.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,,-53.0,-50.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,,-54.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,,-54.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-53.0,-51.0,-57.0,-54.0,-53.0,-65.0,0
-44.0,-51.0,-50.0,-50.0,-57.0,-53.0,-54.0,-65.0,0
-56.0,-45.0,-54.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-45.0,-50.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-53.0,-50.0,-58.0,-54.0,-54.0,-64.0,0
-45.0,-44.0,-53.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,,-51.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-45.0,-51.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-52.0,-54.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,,-50.0,-51.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-45.0,-54.0,-54.0,-58.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-51.0,-54.0,-58.0,-54.0,-54.0,-64.0,0
-44.0,-45.0,-51.0,-51.0,-57.0,-54.0,-54.0,-64.0,0
-59.0,-44.0,-50.0,,-57.0,-54.0,-52.0,-64.0,0
-45.0,-45.0,-54.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-51.0,-57.0,-54.0,-52.0,-64.0,0
,-45.0,-54.0,-54.0,-58.0,-53.0,-52.0,-64.0,0
-46.0,-45.0,-50.0,-49.0,-57.0,-53.0,-52.0,-64.0,0
-44.0,-45.0,-50.0,-54.0,-58.0,-54.0,-52.0,-64.0,0
-44.0,-44.0,-52.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-53.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-45.0,-54.0,-50.0,-58.0,-54.0,-53.0,-64.0,0
-46.0,-45.0,-54.0,-54.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-49.0,-58.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-49.0,-54.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,-44.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-50.0,-54.0,-58.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-50.0,-54.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-53.0,-53.0,-64.0,0
-55.0,-45.0,-50.0,-53.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,,-53.0,-50.0,-57.0,-54.0,-52.0,-64.0,0
-44.0,-44.0,-49.0,-54.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,-45.0,-50.0,-54.0,-58.0,-54.0,-53.0,-64.0,0
,-45.0,-50.0,-49.0,-58.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-58.0,-54.0,-54.0,-64.0,0
,,-50.0,-54.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-45.0,-50.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,,-49.0,-53.0,-58.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-49.0,-49.0,-58.0,-54.0,-53.0,-65.0,0
-45.0,-45.0,-54.0,-54.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-55.0,-50.0,-58.0,-54.0,-54.0,-64.0,0
-45.0,-44.0,-54.0,-54.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-49.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-57.0,-44.0,-49.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-56.0,-45.0,-49.0,-50.0,-57.0,-54.0,-52.0,-64.0,0
-45.0,-45.0,-49.0,-49.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-52.0,-53.0,-54.0,-58.0,-54.0,-53.0,-64.0,0
-54.0,-44.0,-49.0,-51.0,-57.0,-54.0,-52.0,-65.0,0
-45.0,-45.0,-54.0,,-57.0,-53.0,-53.0,-65.0,0
-43.0,-45.0,-49.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
,,-54.0,-54.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-52.0,-50.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-50.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-44.0,-54.0,-54.0,-57.0,-53.0,-54.0,-65.0,0
-58.0,-45.0,-50.0,-49.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-50.0,-49.0,-58.0,-53.0,-54.0,-64.0,0
-44.0,-44.0,-54.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,-45.0,-56.0,-54.0,-57.0,-54.0,-52.0,,0
-45.0,-45.0,-50.0,-50.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-52.0,-55.0,-49.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-50.0,-57.0,-54.0,-53.0,-65.0,0
-46.0,-45.0,-54.0,-50.0,-57.0,-53.0,-53.0,-65.0,0
-44.0,-45.0,-50.0,-55.0,-57.0,-54.0,-54.0,-65.0,0
-55.0,-45.0,-54.0,-50.0,-57.0,-54.0,-54.0,-64.0,0
-44.0,-45.0,-50.0,,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-51.0,-50.0,-57.0,-54.0,-52.0,-64.0,0
-44.0,-44.0,-49.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-44.0,-50.0,-55.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-56.0,-57.0,-54.0,-53.0,-65.0,0
-45.0,-45.0,-51.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-51.0,-53.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,,-50.0,-51.0,-57.0,-54.0,-52.0,-65.0,0
-46.0,-44.0,-55.0,,-57.0,-53.0,-53.0,-65.0,0
-44.0,,-50.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-44.0,-45.0,-56.0,-56.0,-57.0,-53.0,-53.0,-64.0,0
-56.0,-45.0,-50.0,-55.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-50.0,-55.0,-57.0,-54.0,-53.0,-64.0,0
-46.0,,-51.0,-50.0,-57.0,-53.0,-54.0,-64.0,0
-45.0,-44.0,-50.0,-49.0,-57.0,-54.0,-54.0,-64.0,0
-56.0,-46.0,-56.0,-56.0,-57.0,-54.0,-54.0,-64.0,0
-45.0,-45.0,-51.0,-50.0,-58.0,-54.0,-53.0,-64.0,0
-45.0,-44.0,-51.0,-51.0,-57.0,-53.0,-54.0,-63.0,0
-46.0,-44.0,-51.0,-51.0,-57.0,-54.0,-53.0,-64.0,0
-44.0,-44.0,-51.0,-56.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-52.0,-50.0,-56.0,-57.0,-53.0,-52.0,-64.0,0
-44.0,,-51.0,-50.0,-58.0,-54.0,-53.0,-64.0,0
-44.0,-45.0,-56.0,-51.0,-57.0,-53.0,-53.0,-64.0,0
-44.0,-44.0,-56.0,-51.0,-57.0,-53.0,-53.0,-64.0,0
-45.0,-43.0,-50.0,-56.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-45.0,-51.0,-51.0,-58.0,-53.0,-54.0,-64.0,0
-46.0,-44.0,-51.0,-52.0,-57.0,-54.0,-53.0,-64.0,0
-45.0,-52.0,-51.0,-51.0,-57.0,-53.0,-53.0,-64.0,0
-46.0,-52.0,-55.0,-51.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-45.0,-51.0,-52.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-44.0,-55.0,-51.0,-57.0,-54.0,-52.0,-65.0,0
-45.0,-45.0,-50.0,-51.0,-57.0,-53.0,-53.0,-65.0,0
-46.0,-45.0,-51.0,-51.0,-57.0,-53.0,-52.0,-64.0,0
-45.0,-44.0,-51.0,-51.0,-57.0,-54.0,-53.0,-65.0,0
-56.0,-44.0,-50.0,-51.0,-57.0,-53.0,-52.0,-65.0,0
-45.0,,-50.0,-51.0,-57.0,-54.0,-52.0,-64.0,0
-45.0,,-51.0,-51.0,-57.0,-53.0,-52.0,-64.0,0
-44.0,-53.0,-56.0,-51.0,-57.0,-53.0,-53.0,-65.0,0
-44.0,-44.0,-55.0,-51.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,-44.0,-56.0,-51.0,-56.0,-54.0,-54.0,,0
-45.0,-44.0,-50.0,-56.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-51.0,-51.0,-56.0,-54.0,-53.0,-65.0,0
-45.0,-45.0,-50.0,-56.0,-57.0,-54.0,-53.0,-65.0,0
-55.0,,-51.0,-55.0,-57.0,-54.0,-54.0,-64.0,0
,-45.0,-51.0,-55.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-55.0,-56.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,-45.0,-55.0,-50.0,-57.0,-54.0,-54.0,-65.0,0
-45.0,-45.0,-51.0,-51.0,-57.0,-53.0,-53.0,-65.0,0
-45.0,,-50.0,-51.0,-58.0,-53.0,-54.0,-65.0,0
-45.0,-44.0,-56.0,-51.0,-57.0,-53.0,-53.0,-65.0,0
-44.0,-43.0,-56.0,-50.0,-57.0,-53.0,-54.0,-65.0,0
-44.0,-45.0,-50.0,,-57.0,-54.0,-52.0,-64.0,0
-44.0,-45.0,-55.0,-50.0,-58.0,-54.0,-52.0,-64.0,0
-44.0,-44.0,-46.0,-46.0,-50.0,-57.0,-58.0,-52.0,1
-43.0,-45.0,-46.0,-46.0,-49.0,-58.0,-58.0,-52.0,1
,-44.0,-46.0,-46.0,-50.0,-57.0,-58.0,-52.0,1
-45.0,-44.0,,-46.0,-49.0,-58.0,-58.0,-52.0,1
-44.0,,-41.0,-46.0,-49.0,-57.0,-58.0,-52.0,1
-45.0,-44.0,,-41.0,-50.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,-46.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,-46.0,-50.0,-57.0,-59.0,-52.0,1
-44.0,-45.0,-45.0,-46.0,-50.0,-58.0,-58.0,-52.0,1
-46.0,-44.0,,,-50.0,-57.0,-59.0,-52.0,1
,,,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,,-49.0,-57.0,-58.0,-52.0,1
-45.0,,-45.0,-46.0,-49.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,-45.0,,-49.0,-57.0,-58.0,-52.0,1
-44.0,,-45.0,,-49.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,-45.0,-50.0,-58.0,-58.0,-52.0,1
,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,-46.0,-50.0,-58.0,-58.0,-52.0,1
-44.0,,-45.0,,-50.0,-58.0,-58.0,-52.0,1
-43.0,-45.0,-45.0,-46.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,,,-50.0,-57.0,-58.0,-52.0,1
,-55.0,-45.0,-46.0,-50.0,-58.0,-58.0,-52.0,1
-44.0,,,,-50.0,-57.0,-58.0,-52.0,1
,,-46.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,,-46.0,,-49.0,-57.0,-58.0,-52.0,1
,,-46.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,,-46.0,,-49.0,,-58.0,-52.0,1
,-45.0,-45.0,-46.0,-49.0,-57.0,-59.0,-52.0,1
-44.0,-44.0,-45.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-45.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,,,-50.0,-57.0,-58.0,-52.0,1
-45.0,-45.0,,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,,-46.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,-43.0,-41.0,-46.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,-46.0,-50.0,-58.0,-58.0,-52.0,1
-46.0,,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,-46.0,-49.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-45.0,-46.0,-49.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,,,-49.0,-57.0,-58.0,-52.0,1
-46.0,-44.0,,-45.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,,,,-49.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,-41.0,-49.0,-57.0,-58.0,-52.0,1
,-44.0,,,-49.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,-45.0,-49.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,,-47.0,-50.0,-57.0,-58.0,-52.0,1
,,,,,,,,1
-45.0,,,,-49.0,-58.0,-58.0,-52.0,1
-44.0,,,,-49.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-44.0,-45.0,,-50.0,-57.0,-58.0,-52.0,1
-44.0,,,,-50.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,,-45.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,,-46.0,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,,-49.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
,-44.0,-45.0,-45.0,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,-46.0,-45.0,-49.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,,-50.0,-58.0,-58.0,-51.0,1
-44.0,-44.0,,,-50.0,-57.0,-58.0,-52.0,1
-43.0,-44.0,-46.0,,-50.0,-57.0,-58.0,-52.0,1
-44.0,,,,-50.0,-57.0,-58.0,-52.0,1
-44.0,-44.0,,-45.0,-50.0,-58.0,-58.0,-52.0,1
-44.0,-45.0,-46.0,,-49.0,-57.0,-58.0,-52.0,1
-44.0,-45.0,,,-50.0,-58.0,-58.0,-52.0,1
